Time (ms),Accelerometer,Gyroscope,Angle
0,10.0,0.05,-0.01
0,0.1,0.05,-0.0
0,0.1,0.12,-0.0
0,-0.12,0.12,-0.0
1,-0.12,0.12,-0.01
1,-0.12,0.04,-0.01
1,-0.12,0.04,-0.01
1,-0.12,0.04,-0.01
2,-0.12,0.04,-0.01
2,-0.12,0.18,-0.02
2,0.1,0.18,-0.01
2,0.1,0.18,-0.01
2,0.1,-0.04,-0.01
3,0.1,-0.04,-0.01
3,0.1,-0.04,-0.01
3,0.1,-0.07,-0.0
3,0.1,-0.07,-0.0
3,0.1,-0.07,0.0
4,0.1,0.06,0.0
4,-0.12,0.06,-0.0
4,-0.12,0.06,-0.0
4,0.32,0.04,0.0
4,0.32,0.04,0.01
5,-0.12,0.04,0.01
5,-0.12,0.04,0.01
5,0.32,0.18,0.01
5,-0.57,0.18,-0.0
5,-0.35,0.18,-0.01
6,-0.35,0.15,-0.01
6,-0.35,0.15,-0.02
6,0.1,0.15,-0.02
6,0.1,0.28,-0.02
6,0.1,0.28,-0.01
7,0.1,0.28,-0.01
7,-0.12,0.28,-0.01
7,-0.12,0.18,-0.02
7,-0.35,0.18,-0.02
7,0.32,0.18,-0.02
8,0.32,0.17,-0.01
8,-0.57,0.17,-0.02
8,-0.57,0.17,-0.03
8,0.32,0.13,-0.02
9,0.32,0.13,-0.02
9,-0.12,0.13,-0.02
9,-0.12,-0.01,-0.02
9,-0.12,-0.01,-0.02
9,0.32,-0.01,-0.02
10,0.32,0.06,-0.01
10,0.32,0.06,-0.0
10,0.32,0.06,0.0
10,0.1,0.06,0.01
10,0.1,0.19,0.01
10,-0.35,0.19,0.0
11,-0.35,0.19,-0.01
11,-0.12,0.26,-0.01
11,-0.12,0.26,-0.01
11,-0.12,0.26,-0.01
12,-0.12,0.16,-0.02
12,-0.12,0.16,-0.02
12,0.55,0.16,-0.01
12,0.55,0.46,0.01
12,0.32,0.46,0.01
13,-0.57,0.46,-0.0
13,-0.35,0.46,-0.01
13,-0.12,0.14,-0.01
13,-0.12,0.14,-0.01
14,0.1,0.14,-0.01
14,0.1,0.19,-0.01
14,0.1,0.19,-0.01
14,0.1,0.19,-0.0
14,0.32,0.03,0.0
15,-0.57,0.03,-0.01
15,-0.35,0.03,-0.01
15,0.1,0.03,-0.01
15,0.1,0.09,-0.01
16,0.32,0.09,-0.0
16,0.32,0.09,0.0
16,-0.12,0.15,0.0
16,-0.12,0.15,-0.0
16,0.32,0.15,0.0
17,0.32,0.11,0.01
